qx_exproj,qx_lc
0.0010394595,0.001039459483898122
0.0011093842,0.0007398741217590121
0.0011623241,0.0007321517177301464
0.0012472217,0.0007203132440682934
0.001323124,0.0007226093963389281
0.0013990207,0.0007312663817023778
0.0014629292,0.0007388870290816201
0.0016057099,0.0007611597444651762
0.0016636149,0.0007624306173990128
0.0017434788,0.0007751627925557687
0.0018622644,0.000812846001752888
0.001955087,0.0008331790299724225
0.001991016,0.0008636325850657839
0.0020239498,0.000880576468552768
0.0021756308,0.0009186147047673262
0.002265431,0.0009592573850026396
0.0023213024,0.0010110412911773694
0.0024779262,0.0010913354553646931
0.0025836579,0.0011194916106117467
0.0027163057,0.0012042167970246315
0.0028319843,0.001304386677491066
0.0029526344,0.001403863185197705
0.003142056,0.0015065462318595664
0.0032497114,0.0016058746533731368
0.003396223,0.001741699900195083
0.0037101049,0.0018992703614820786
0.00394321,0.0020446663327344634
0.004216093,0.0022522530700163283
0.004559581,0.002351330929668729
0.0048512043,0.0025648383909670056
0.005271071,0.0027908165928797976
0.005594308,0.003034432486242313
0.0061271717,0.003250943059388087
0.006691536,0.0034844177070469428
0.007200979,0.003854702655952265
0.007872886,0.004169773852533684
0.008607793,0.004486954778606745
0.009263891,0.004962805320028891
0.010031432,0.0052164455738144344
0.010723197,0.005705262142104786
0.011692245,0.006123662940766998
0.012504329,0.006723968063182847
0.01346671,0.007139599568675039
0.014335504,0.007580794635989215
0.0151779335,0.008136686093879932
